English Text,Hebrew Text,Sentiment
when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,כשמודי הבטיח לממשלת מינימום שליטה מירבית ציפתה ממנו להתחיל את העבודה הקשה בשיקום המדינה למה לוקח שנים עד שמדינת הצדק צריכה לקבל ולא עסק ולא צריך לצאת מפוס ומקדשים,0.0
talk all the nonsense and continue all the drama will vote for modi ,לדבר את כל השטויות ולהמשיך את כל הדרמה יצביע עבור modi,2.0
what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,מה בדיוק אמר להצביע לMODI בברכה BJP אמר לך Rahul הקמפיין העיקרי עבור modi חושב modi צריך פשוט להירגע,1.0
asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,שואל תומכיו צ'אוקידר קידומת השמות שלהם modi עשה שירות גדול עכשיו יש בלבול מה קרא מה לא עכשיו קרום ברור מה יהיה גס nosensical מטונף לראות איך רוב ההתעללות מגיעה מ chowkidars,1.0
answer who among these the most powerful world leader today trump putin modi may ,ענה מי מבין אלה מנהיג העולם החזק ביותר היום מנצח פוטין מודי עשוי,1.0
kiya tho refresh maarkefir comment karo ,tho kiya רענון maarkefir להעיר קארו,2.0
"surat women perform yagna seeks divine grace for narendra modi become again
",נשות חסות לבצע Yagna מחפש חסד אלוהי לNarendra modi להיות שוב,2.0
this comes from cabinet which has scholars like modi smriti and hema time introspect,זה מגיע מקבינט שיש לו מלומדים כמו מודי סמירטי והמה זמן אינטרוספקט,2.0
with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,עם הסאגה הקרובה של הבחירות בהודו הולך זוג חשוב נראה עכשווי מוביל Govt נבחר עם שילוב עסקה Brexit זה שבועי נראה עסיסי דובים imho,1.0
gandhi was gay does modi  ,גנדי היה הומו.,1.0
things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2,דברים כמו דמוניזציה גסט סחורות ומס שירותים... המעמדות העליונים היו למיין או להציג בטוב לומר כי צריך לתת זה יותר זמן קבוצות אחרות כמו dlits המוסלמים היו יותר נגד כי כי פשוט לא modiş ציבור 2,1.0
hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,"אני מקווה שטוטוקודי יעדיפו לאומני ישר וכנה, אמיץ כמו הכומר מודי קול קבינט, בניפיט ת'וקולודי.",1.0
calm waters wheres the modi wave ,"מים רגועים, היכן שהמודי מנופף.",1.0
