English Text,Hebrew Text,Sentiment
when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,כשמודי הבטיח לממשלת מינימום שליטה מירבית ציפתה ממנו להתחיל את העבודה הקשה בשיקום המדינה למה לוקח שנים עד שמדינת הצדק צריכה לקבל ולא עסק ולא צריך לצאת מפוס ומקדשים,0.0
answer who among these the most powerful world leader today trump putin modi may ,ענה מי מבין אלה מנהיג העולם החזק ביותר היום מנצח פוטין מודי עשוי,1.0
this comes from cabinet which has scholars like modi smriti and hema time introspect,זה מגיע מקבינט שיש לו מלומדים כמו מודי סמירטי והמה זמן אינטרוספקט,2.0
gandhi was gay does modi  ,גנדי היה הומו.,1.0
hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,"אני מקווה שטוטוקודי יעדיפו לאומני ישר וכנה, אמיץ כמו הכומר מודי קול קבינט, בניפיט ת'וקולודי.",1.0
calm waters wheres the modi wave ,"מים רגועים, היכן שהמודי מנופף.",1.0
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign ,"קול אחד יכול לעשות את כל ההבדל, אניל קאפור עונה לבחירות 2019, שיחת ההבהרה תתמוך במסע הבחירות של קאר.",2.0
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign ,"קול אחד יכול לעשות את כל ההבדל, אניל קאפור עונה לבחירות 2019, שיחת ה""קלאריון"" תתמוך במסע הבחירות שלו.",2.0
vote modi who has not created jobs,קול מודי שלא יצר עבודות.,2.0
didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti ,"לא כתבתי צ'וקידר, זה אומר שאנטי מודי מנסה לבקר את הפלז, לא כל מי שהשתמש בהם הוא אנטי.",0.0
was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him,היה זה שאמר לאחרונה שאנשים שמצביעים נגד מודי הם אנטי לאומיים ששמים את כל תומכי הקונגרס והלסנאים האלה שלא תומכים במודי אנטי לאומיים איזה דברים גדולים שמעת עליו,1.0
sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh,"סולטנפור אוטר פרקאש לוקסאבה המועמד בוחר בפאפן קומאר פנדיי, למעשה, בפומבי, רוצה לקבל זכות הצבעה, אבל המועמד הנוכחי שלך, לא מחוז פופולרי, המועמד שלך, סונבהדרה סינג.",0.0
"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india",הפיתוח הפך לתנועה המונית תחת מודי גווט עם העצמה כלכלית חברתית ופוליטית חיים אחד וכולם היו עדים לשינוי חיובי הפרדיגמה החדשה,1.0
was waiting for this modi will also talk about varanasi,חיכיתי למודי הזה גם ידבר על וראנסי.,2.0
according yogi imran masood kin azhar masood according this logic nirav modi lalit modi and narendra modi are brothers from the same mother,"על פי יוגי אימראן מסעוד, קרוב משפחה אזהר מסעוד, לפי ההיגיון הזה, נירב מודי להליט ונאנדרה מודי הם אחים מאותה אמא.",2.0
agree but only during the tenure modiganga rejuvenation works have started working,מסכים אבל רק במהלך עבודות התחדשות של מודיגנגה החלו לעבוד,2.0
being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive,נולד דת שבו אלים נשיים סגדו למסורת הסדיסטית שנאת הנשים שלה ולגמרי נגד נקודה הוא האיש עשה מסורת ולא כתב אחד לא מטורף דתי לתמוך בדת שלה המדכאת,1.0
how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet ,עד כמה אנשים כאלה נדהמים מהפחד שפורסטציה שלו עלולה לא לגרום להצבעה נגד אדוני שר הפסולת בכל הקבינט.,0.0
check out latest article premier archery league via ,בדוק את המאמר האחרון ליגת חץ וקשת בראש באמצעות,1.0
india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year ,הודו השנייה הכי אופטימית בעולם בנוגע לצמיחת עבודה ניהולית מראה שהסקר בהודו מנהלי בכירים אמרו שהם אופטימיים לגבי הצמיחה,1.0
modi for eternal what wrong dear sirji perfectly fine with indian people,מודי לנצח מה לא בסדר סירג'י היקר בסדר גמור עם אינדיאנים,0.0
